HH_jit_L1_variance,HH_jit_L0.01_variance,HH_jit_L3_variance,HH_jit_L0.1_variance,HH_jit_L0.1_mean,H_L0.01_variance,HH_jit_L5_variance,MI_dir_L0.01_variance,MI_dir_L0.1_mean,MI_dir_L0.01_weight,HH_L0.01_std,MI_dir_L0.1_weight,H_L0.01_mean,H_L0.01_weight,HH_jit_L5_mean,MI_dir_L1_weight,H_L0.1_weight,label
1.67e-06,212.2546075,0.0,143.9963106,24.00608975,32911.70042,0.0,32911.70042,202.7132579,34.12470115,19.92673837,4.898616035,244.8631063,34.12470115,30.00722599,2.054354409,4.898616035,0
9.71e-07,212.8947754,0.0,86.91917896,26.40583553,29515.16078,0.0,29515.16078,303.0296297,26.1313188,68.63673164,2.310538958,304.6038864,26.1313188,29.73547602,1.000013292,2.310538958,0
1.01e-06,204.9777412,0.0,85.99175542,26.26758561,32022.4649,0.0,32022.4649,341.5326371,30.97460578,68.30698953,4.205236054,284.6128547,30.97460578,29.667063,1.167974908,4.205236054,0
1.52e-06,203.9483726,0.0,83.87672784,25.59868002,30887.40555,0.0,30887.40555,357.1276915,30.75239559,68.03382657,3.748487616,288.0630266,30.75239559,28.92956495,1.081769576,3.748487616,0
0.0,108.2274716,0.0,6.07e-07,60.00931235,31687.11648,0.0,31687.11648,221.8309728,28.97098058,0.000139808,3.912049535,285.5024259,28.97098058,60.00937009,1.055704162,3.912049535,0
1.68e-06,212.1624223,0.0,143.9706406,23.99702701,32467.00912,0.0,32467.00912,240.0931629,31.50383212,19.92664793,3.88136642,260.5464498,31.50383212,29.99664903,2.238037928,3.88136642,0
1.02e-06,211.0270797,0.0,86.27557783,26.31264142,30752.5879,0.0,30752.5879,242.0571813,26.26310519,68.63831866,1.961209209,288.5066578,26.26310519,29.64645004,1.000000053,1.961209209,0
9.99e-07,212.7263905,0.0,86.73845094,26.36432931,31990.74246,0.0,31990.74246,339.5650171,30.77321943,68.62382516,3.727090459,283.2913262,30.77321943,29.68616199,1.037232657,3.727090459,0
200.1607105,199.8092662,200.0644097,200.0973636,10.00314226,30462.30497,199.9678611,30462.30497,372.1583623,29.27008199,19.34457806,4.867049906,303.4146846,29.27008199,9.982183372,3.745854149,4.867049906,0
1.03e-06,211.2905692,0.0,86.1958592,26.3030522,31803.55564,0.0,31803.55564,251.0734168,28.77587124,68.62535885,1.902809893,271.0544836,28.77587124,29.62396502,1.000000015,1.902809893,0
1.68e-06,212.0085765,0.0,143.9801032,23.99760507,31305.95027,0.0,31305.95027,264.739727,28.09347118,19.92645867,3.22500883,283.8864151,28.09347118,29.99748993,1.069724886,3.22500883,0
0.0,14.38943624,0.0,1.13e-07,124.8442563,0.39948441,0.0,0.39948441,110.0,1.728435348,0.632047791,1.000174538,109.9800058,1.728435348,124.8442519,1.0,1.000174538,0
199.7723149,55962100000000.0,199.564901,199.8871343,9.997840004,12849.86034,199.3567752,12849.86034,298.9549937,403.9900554,31.82589969,51.8526493,290.5858201,403.9900554,9.946747292,7.321839666,51.8526493,0
224.7893563,206.1898057,224.7893554,224.0526017,14.1118743,31710.73867,224.7893535,31710.73867,302.2053361,29.83175019,19.59297856,4.526432582,284.9847818,29.83175019,14.99132712,2.554106191,4.526432582,0
192.8849415,252736000000.0,164.4274047,196.5018131,13.49657553,32758.35991,122.2397147,32758.35991,291.5148174,33.10120089,67.42753578,5.242351033,271.2534201,33.10120089,5.806100031,1.965968449,5.242351033,0
1.67e-06,212.1964038,0.0,143.9845225,24.00477582,31972.2596,0.0,31972.2596,263.2541355,29.22587099,19.92668782,3.012788675,274.7027738,29.22587099,30.00453019,1.00199803,3.012788675,0
1.1e-06,209.8269284,0.0,85.40168296,26.19720302,30961.76347,0.0,30961.76347,260.4126961,27.29679108,68.60990835,2.21269866,287.5131823,27.29679108,29.50886106,1.000000478,2.21269866,0
211.7943882,212.4956605,196.2706141,213.7025111,14.77061296,31240.67861,169.4797413,31240.67861,313.0237686,30.01446352,68.6912774,5.159058866,294.0634408,30.01446352,8.246272125,2.326623871,5.159058866,0
0.0,85256.23298,0.0,0.000264208,128.370029,31777.54302,0.0,31777.54302,248.0098132,30.03967961,6.74e-07,5.325418823,287.5791959,30.03967961,128.370219,1.649070478,5.325418823,0
224.996277,3726.986179,224.9962765,223.2473729,14.08434366,30498.3022,224.9962754,30498.3022,372.1944476,27.19921119,19.61993291,3.209845212,302.8508269,27.19921119,14.99862457,1.999985371,3.209845212,0
199.6997745,212.3786766,144.2045662,209.0202634,14.75457696,32241.58966,81.88845122,32241.58966,202.0787418,29.3643136,68.99989074,3.161880592,271.6290955,29.3643136,3.789314896,1.65873957,3.161880592,0
0.00140713,2257270000000000.0,0.000178223,30595320942.0,20.24343234,29033.60224,5.75e-05,29033.60224,298.1672283,306.9684733,162.9350405,49.30606851,275.066144,306.9684733,0.252158189,6.020516063,49.30606851,0
